agent:representation,agency,intelligence,actor,proxy,undercover,operative,secret,surveillance,handler
politician:election,government,legislation,congress,parliament,political_party,democracy,campaign,lobbying,public_policy
senator:legislation,chamber,term_limit,filibuster,constituency,committee,caucus,confirmation_hearings,whip,seniority
work:employment,career,labor,job,occupation,profession,workplace,workforce,employment_status,worklife_balance
musical_work:composition,symphony,opera,ballet,concerto,orchestration,sheet_music,musical_score,overture,musical_arrangement
album:cover_art,tracklist,liner_notes,concept_album,compilation_album,remix_album,deluxe_edition,limited_edition,vinyl_record,digital_download
place:location,geography,geography,environment,destination,site,landmark,region,space,geology
natural_place:forest,mountain,desert,canyon,valley,gorge,cave,volcano,waterfall,tundra
mountain:hiking,climbing,elevation,summit,scenic,snowcapped,alpine,plateau,slope,peak
periodical_literature:magazine,journal,newspaper,academic_journal,scholarly_journal,periodical_publication,editorial,periodical_index,electronic_journal,trade_publication
academic_journal:peerreviewed,scholarly,research,citation_index,editorial_board,impact_factor,academic_publishing,open_access,doubleblind_peer_review,academic_discipline
building:architecture,construction,skyscraper,engineering,design,urban_development,building_materials,interior_design,building_codes,historic_preservation
historic_building:landmark,preservation,architecture,conservation,restoration,heritage,preservation_society,historic_district,landmark_status,historical_society
species:biodiversityevolutiontaxonomygeneticsendangeredadaptationhabitatnichemorphologyecology
animal:mammal,vertebrate,invertebrate,carnivore,herbivore,omnivore,animal_behavior,animal_anatomy,animal_classification,animal_reproduction
reptile:scaled_skin,ectothermic,oviparous,coldblooded,carapace,slithering,exoskeleton,crocodilian,herpetology,venomous_bite
organisation:nonprofit_organization,international_organization,nongovernmental_organization_ngo,community_organization,public_sector_organization,private_sector_organization,social_enterprise,trade_union,professional_association,government_agency
military_unit:army,infantry,battalion,division,brigade,platoon,company,squadron,regiment,special_forces
person:human,individual,personhood,citizen,member_of_society,human_being,human_race,mortal,living_being,manwoman
judge:court,judicial_system,legal_proceedings,magistrate,bench,gavel,verdict,law,justice_system,jurisprudence
athlete:athlete_training,sports_performance,physical_fitness,endurance,strength_training,nutrition_for_athletes,sports_psychology,competitive_sports,athletic_injuries,professional_sports_career
chess_player:chess_board,grandmaster,pawn,checkmate,opening_theory,endgame,chess_tournament,chess_strategy,chess_notation,chess_clock
trade_union:labor_rights,collective_bargaining,workplace_conditions,industrial_action,worker_representation,union_membership,labor_dispute,trade_union_activism,labor_movement,labor_solidarity
